iso,umd_tree_cover_loss__year,,umd_tree_cover_loss__ha,umd_tree_cover_loss_from_fires__ha
CHN,2003,CHN2003,261775.6097,81811.39619
CIV,2003,CIV2003,86300.20885,107.0015625
CMR,2003,CMR2003,25344.84636,70.89428287
COD,2003,COD2003,274611.8706,1528.295251
COG,2003,COG2003,18514.38119,180.6396743
COL,2003,COL2003,122398.5709,8127.32023
COM,2003,COM2003,26.65331395,0
CPV,2003,CPV2003,17.85044483,0.295983867
CRI,2003,CRI2003,8278.501742,201.1048486
CUB,2003,CUB2003,6556.683915,523.5295994
CUW,2003,CUW2003,0.827957708,0
CYM,2003,CYM2003,6.324797604,1.090226743
CYP,2003,CYP2003,25.22916781,5.647125829
CZE,2003,CZE2003,3925.485529,11.25672127
DEU,2003,DEU2003,6448.046301,39.52384517
DMA,2003,DMA2003,27.23870244,0.964818189
DNK,2003,DNK2003,1579.71326,21.41243704
DOM,2003,DOM2003,10714.07472,754.5437687
DZA,2003,DZA2003,3829.638557,1498.04226
ECU,2003,ECU2003,13867.49781,1116.270082
EGY,2003,EGY2003,61.01187804,15.31956215
ESP,2003,ESP2003,23315.39373,4575.397892
EST,2003,EST2003,5632.684332,59.85160131
ETH,2003,ETH2003,13936.04122,9.367701742
FIN,2003,FIN2003,89696.58178,2006.086324
FJI,2003,FJI2003,1572.235904,53.28209288
FRA,2003,FRA2003,26393.38944,3576.5194
GAB,2003,GAB2003,16845.22031,155.4096829
GBR,2003,GBR2003,1866.568606,178.1462368
GEO,2003,GEO2003,292.002685,16.75531502
GHA,2003,GHA2003,24944.42875,38.99951538
GIN,2003,GIN2003,9229.458009,7.675838955
GLP,2003,GLP2003,76.87749934,1.552972615
GMB,2003,GMB2003,10.56543665,0
GNB,2003,GNB2003,1021.877364,1.584468869
GNQ,2003,GNQ2003,1961.341314,2.383501755
GRC,2003,GRC2003,2562.476905,326.3833354
GRD,2003,GRD2003,71.34625369,0.827978783
GTM,2003,GTM2003,98213.26745,8582.898922
GUF,2003,GUF2003,1889.081601,151.7208079
GUY,2003,GUY2003,7418.606859,2396.722491
HND,2003,HND2003,33625.29615,1920.153477
HRV,2003,HRV2003,1738.926459,331.4288084
HTI,2003,HTI2003,1070.162075,54.34069887
HUN,2003,HUN2003,5726.446565,54.26921733
IDN,2003,IDN2003,544811.9071,109258.8852
IMN,2003,IMN2003,3.634596066,0
IND,2003,IND2003,43831.0218,1363.312925
IRL,2003,IRL2003,2271.277651,87.90393302
IRN,2003,IRN2003,326.6750206,75.58983893
IRQ,2003,IRQ2003,19.61672495,7.418781709
ISR,2003,ISR2003,30.17165819,2.289024672
ITA,2003,ITA2003,3613.14574,481.786509
JAM,2003,JAM2003,1029.274034,42.63566535
JOR,2003,JOR2003,0.065259603,0.065259603
JPN,2003,JPN2003,19747.24002,708.5095487
KAZ,2003,KAZ2003,3351.858901,1235.475615
KEN,2003,KEN2003,13553.19541,42.75716063
KGZ,2003,KGZ2003,110.7895604,62.27775682
KHM,2003,KHM2003,56854.59218,1488.120621
KNA,2003,KNA2003,32.14738442,2.723030758
KOR,2003,KOR2003,3611.882784,112.1186527
