"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"COD",2021,1248060.48472706393057883,828353837.443374286044439
"COG",2021,58192.92151258512566614,36591674.865721298593595
"COL",2021,265160.66955185602017114,162187001.983124882380199
"COM",2021,164.53768411434627625,86426.065361247245760
"CRI",2021,7850.73668311729647333,4857101.619759094819654
"CUB",2021,9720.83331947196261219,4329397.7212304856526737
"CUW",2021,4.06381176150499180,1282.976691341749517
"CYM",2021,10.10522126454427100,5864.164245931602300
"CYP",2021,642.87003442237588949,91879.1697372107689369
"CZE",2021,56298.102724837015066128,31955605.999054156972548
"DEU",2021,202277.204429517259682972,122302286.6871671066351945
"DMA",2021,30.35926319274468241,19327.639969111181176
"DNK",2021,4795.048927643729615299,1965759.6893142939824425
"DOM",2021,14182.34201178285722022,7152392.351429404156780
"DZA",2021,20471.652534532569419829,3527427.7695765898847222
"ECU",2021,30367.76456221179915969,22562909.141882194007762
"EGY",2021,17.8120813064040791,4381.557614465632472
"ERI",2021,0.0,53.04347013513891
"ESP",2021,85791.957416141315736123,38435665.8172755413784811
"EST",2021,34004.181033504093639583,11644175.7828424875577550
"ETH",2021,19751.43827758899084913,11075691.1542863372577124
"FIN",2021,266899.154358796915268462,63588010.4236874169927651
"FJI",2021,7198.68557758017719176,4212392.367926386201643
"FRA",2021,112885.768951208160131774,66514860.5826819938126078
"GAB",2021,18317.62964507300887961,12246690.148276489178155
"GBR",2021,26216.317962058577695002,12823395.9542492284151769
"GEO",2021,420.262445849194972005,196829.091300141755308
"GGY",2021,1.10826138006944444,435.38041330845016
"GHA",2021,101414.08485857480580059,66999217.755689231458983
"GIN",2021,167376.67003997796056500,82115086.669564298733876
"GLP",2021,67.73279766907388162,29787.663891299833132
"GMB",2021,19.03735950195854146,9599.671319256904598
"GNB",2021,13684.85411847590971235,6438012.588998309913061
"GNQ",2021,8905.52715633373285541,6114017.085291775776498
"GRC",2021,49038.519036177904784983,8741793.5912389654840992
"GRD",2021,15.95471225753634858,9113.085637620173074
"GTM",2021,49898.31212181117477795,26782154.389368421950508
"GUF",2021,2205.03299824686577374,1712091.281268303028209
"GUY",2021,9536.76713339113422424,6555708.605546887171200
"HND",2021,69498.32169403475087441,37499705.208399406498200
"HRV",2021,5264.326696804363071196,2799195.0810927071825003
"HTI",2021,2413.74453287675813902,1167891.943604689218597
"HUN",2021,13757.123536229150430779,6093601.755187681861109
"IDN",2021,841390.16131598963330867,514506680.790339389031891
"IMN",2021,27.96447584641927765,11394.490799223659602
"IND",2021,125753.22883265908234846,72534775.949936247099296
"IRL",2021,8779.289064123877175531,4654123.0145951578373140
"IRN",2021,20.998456522460944559,9684.1388282254306495
"ISR",2021,28.61547411162543701,9215.847666753197618
